( O
黑 B-地区
龙 I-地区
江 I-地区
省 I-地区
1 O
2 O
3 O
4 O
5 O
政 O
务 O
服 O
务 O
便 O
民 O
热 O
线 O
平 O
台 O
知 O
识 O
库 O
（ O
慈 B-组织名
善 I-组织名
社 I-组织名
工 I-组织名
处 I-组织名
） O
— O
— O
便 O
民 O
问 O
答 O

 O
1 O
知 O
识 O
标 O
题 O
： O

 O
社 B-业务
会 I-业务
工 I-业务
作 I-业务
者 I-业务
的 I-业务
报 I-业务
考 I-业务
条 I-业务
件 I-业务
？ O

 O
知 O
识 O
类 O
别 O
： O
  O
  O
  O
  O

 O
社 B-业务类别
会 I-业务类别
工 I-业务类别
作 I-业务类别
- I-业务类别
社 I-业务类别
工 I-业务类别
管 I-业务类别
理 I-业务类别

 O
生 O
效 O
时 O
间 O
： O

 O
2 B-时间日期
0 I-时间日期
2 I-时间日期
2 I-时间日期
/ I-时间日期
3 I-时间日期
/ I-时间日期
7 I-时间日期
  I-时间日期
1 I-时间日期
6 I-时间日期
: I-时间日期
0 I-时间日期
0 I-时间日期
: I-时间日期
0 I-时间日期
0 I-时间日期

 O
填 O
写 O
人 O
员 O
： O

 O
王 B-人名
增 I-人名
辉 I-人名

 O
适 O
用 O
地 O
区 O
范 O
围 O
： O

 O
全 B-地区
省 I-地区

 O
答 O
复 O
内 O
容 O
： O

 O
（ O
一 O
） O
） O
初 B-业务
级 I-业务
社 I-业务
会 I-业务
工 I-业务
作 I-业务
者 I-业务
报 I-业务
考 I-业务
条 I-业务
件 I-业务

 O
1 O
． O
取 O
得 O
高 B-要件
中 I-要件
或 I-要件
者 I-要件
中 I-要件
专 I-要件
学 I-要件
历 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
4 B-时间日期
年 I-时间日期
; O

 O
2 O
. O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
大 I-要件
专 I-要件
学 I-要件
历 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
2 B-时间日期
年 I-时间日期
; O

 O
3 O
. O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
本 I-要件
科 I-要件
应 I-要件
届 I-要件
毕 I-要件
业 I-要件
生 I-要件
; O

 O
4 O
. O
取 O
得 O
其 B-要件
他 I-要件
专 I-要件
业 I-要件
大 I-要件
专 I-要件
学 I-要件
历 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
4 B-时间日期
年 I-时间日期
; O

 O
5 O
. O
取 O
得 O
其 B-要件
他 I-要件
专 I-要件
业 I-要件
本 I-要件
科 I-要件
及 I-要件
以 I-要件
上 I-要件
学 I-要件
历 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 B-时间日期
2 I-时间日期
年 I-时间日期
。 O

 O
( O
二 O
) O
中 B-业务
级 I-业务
社 I-业务
会 I-业务
工 I-业务
作 I-业务
者 I-业务
报 I-业务
考 I-业务
条 I-业务
件 I-业务

 O
1 O
. O
取 O
得 O
高 B-要件
中 I-要件
或 I-要件
者 I-要件
中 I-要件
专 I-要件
学 I-要件
历 I-要件
， O
并 O
取 O
得 O
助 B-要件
理 I-要件
社 I-要件
会 I-要件
工 I-要件
作 I-要件
师 I-要件
职 I-要件
业 I-要件
水 I-要件
平 I-要件
证 I-要件
书 I-要件
后 O
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
6 B-时间日期
年 I-时间日期
; O

 O
  O
  O
  O
  O
2 O
. O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
大 I-要件
专 I-要件
及 I-要件
以 I-要件
上 I-要件
学 I-要件
历 I-要件
或 I-要件
学 I-要件
位 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
4 B-时间日期
年 I-时间日期
; O

 O
  O
  O
  O
  O
3 O
. O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
大 I-要件
学 I-要件
本 I-要件
科 I-要件
学 I-要件
历 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
3 B-时间日期
年 I-时间日期
; O

 O
  O
  O
  O
  O
4 O
. O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
硕 I-要件
士 I-要件
学 I-要件
位 I-要件
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
1 B-时间日期
年 I-时间日期
; O

 O
  O
  O
  O
  O
5 O
. O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
专 I-要件
业 I-要件
博 I-要件
士 I-要件
学 I-要件
位 I-要件
; O

 O
  O
  O
  O
  O
6 O
. O
取 O
得 O
其 B-要件
他 I-要件
专 I-要件
业 I-要件
大 I-要件
专 I-要件
及 I-要件
以 I-要件
上 I-要件
学 I-要件
历 I-要件
或 I-要件
学 I-要件
位 I-要件
， O
其 O
从 O
事 O
社 O
会 O
工 O
作 O
年 O
限 O
相 O
应 O
增 O
加 O
2 B-时间日期
年 I-时间日期
。 O

 O
  O
  O
  O
  O
香 B-地区
港 I-地区
、 O
澳 B-地区
门 I-地区
居 O
民 O
申 B-业务
请 I-业务
参 I-业务
加 I-业务
社 I-业务
会 I-业务
工 I-业务
作 I-业务
师 I-业务
职 I-业务
业 I-业务
水 I-业务
平 I-业务
考 I-业务
试 I-业务
的 O
， O
报 O
名 O
时 O
应 O
提 O
交 O
本 B-要件
人 I-要件
身 I-要件
份 I-要件
证 I-要件
明 I-要件
、 O
国 B-要件
务 I-要件
院 I-要件
教 I-要件
育 I-要件
行 I-要件
政 I-要件
部 I-要件
门 I-要件
认 I-要件
可 I-要件
的 I-要件
学 I-要件
历 I-要件
或 I-要件
学 I-要件
位 I-要件
证 I-要件
书 I-要件
、 O
从 B-要件
事 I-要件
本 I-要件
专 I-要件
业 I-要件
工 I-要件
作 I-要件
实 I-要件
践 I-要件
证 I-要件
明 I-要件
。 O

 O
( O
三 O
) O
高 B-业务
级 I-业务
社 I-业务
会 I-业务
工 I-业务
作 I-业务
者 I-业务
报 I-业务
考 I-业务
条 I-业务
件 I-业务

 O
1 O
. O
拥 O
护 O
中 O
国 O
共 O
产 O
党 O
领 O
导 O
， O
遵 O
守 O
国 O
家 O
宪 O
法 O
、 O
法 O
律 O
、 O
法 O
规 O
， O
热 O
爱 O
社 O
会 O
工 O
作 O
事 O
业 O
， O
具 O
有 O
良 O
好 O
的 O
职 O
业 O
道 O
德 O
； O

 O
2 O
. O
具 O
有 O
本 B-要件
科 I-要件
及 I-要件
以 I-要件
上 I-要件
学 I-要件
历 I-要件
（ I-要件
或 I-要件
学 I-要件
士 I-要件
及 I-要件
以 I-要件
上 I-要件
学 I-要件
位 I-要件
） O
； O

 O
  O
  O
  O
  O
3 O
. O
在 O
通 O
过 O
全 B-要件
国 I-要件
社 I-要件
会 I-要件
工 I-要件
作 I-要件
者 I-要件
职 I-要件
业 I-要件
水 I-要件
平 I-要件
考 I-要件
试 I-要件
取 I-要件
得 I-要件
社 I-要件
会 I-要件
工 I-要件
作 I-要件
师 I-要件
（ I-要件
中 I-要件
级 I-要件
） I-要件
资 I-要件
格 I-要件
后 O
， O
从 O
事 O
社 O
会 O
工 O
作 O
满 O
5 B-时间日期
年 I-时间日期
， O
截 O
止 O
日 O
期 O
为 O
考 O
试 O
报 O
名 O
年 O
度 O
的 O
当 O
年 O
年 O
底 O
。 O

 O
符 O
合 O
考 O
试 O
报 O
名 O
条 O
件 O
的 O
人 O
员 O
， O
可 O
按 O
照 O
有 O
关 O
规 O
定 O
完 O
成 O
报 O
名 O
。 O
各 O
地 O
人 B-组织名
力 I-组织名
资 I-组织名
源 I-组织名
社 I-组织名
会 I-组织名
保 I-组织名
障 I-组织名
部 I-组织名
门 I-组织名
会 O
同 O
民 B-组织名
政 I-组织名
部 I-组织名
门 I-组织名
负 O
责 O
资 O
格 O
审 O
核 O
， O
审 O
查 O
合 O
格 O
后 O
， O
由 O
考 B-组织名
试 I-组织名
管 I-组织名
理 I-组织名
机 I-组织名
构 I-组织名
核 O
发 O
准 O
考 O
证 O
。 O
应 O
试 O
人 O
员 O
凭 O
准 B-要件
考 I-要件
证 I-要件
及 O
有 B-要件
关 I-要件
身 I-要件
份 I-要件
证 I-要件
明 I-要件
， O
在 O
指 O
定 O
时 O
间 O
、 O
地 O
点 O
参 O
加 O
考 O
试 O
。 O

2 O
知 O
识 O
标 O
题 O
： O

 O
事 B-组织名
业 I-组织名
单 I-组织名
位 I-组织名
考 O
取 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
者 I-要件
职 I-要件
业 I-要件
水 I-要件
平 I-要件
资 I-要件
格 I-要件
的 O
， O
是 O
否 O
可 O
以 O
兑 B-业务
现 I-业务
职 I-业务
称 I-业务
待 I-业务
遇 I-业务
？ O

 O
知 O
识 O
类 O
别 O
： O

 O
社 B-业务类别
会 I-业务类别
工 I-业务类别
作 I-业务类别
- I-业务类别
社 I-业务类别
工 I-业务类别
管 I-业务类别
理 I-业务类别
  O
  O

 O
生 O
效 O
时 O
间 O
： O

 O
2 B-时间日期
0 I-时间日期
2 I-时间日期
2 I-时间日期
/ I-时间日期
3 I-时间日期
/ I-时间日期
7 I-时间日期
  I-时间日期
1 I-时间日期
6 I-时间日期
: I-时间日期
0 I-时间日期
0 I-时间日期
: I-时间日期
0 I-时间日期
0 I-时间日期

 O
填 O
写 O
人 O
员 O
： O

 O
王 B-人名
增 I-人名
辉 I-人名

 O
适 O
用 O
地 O
区 O
范 O
围 O
： O

 O
全 B-地区
省 I-地区

 O
答 O
复 O
内 O
容 O
： O

 O
根 O
据 O
2 B-时间日期
0 I-时间日期
1 I-时间日期
4 I-时间日期
年 I-时间日期
省 B-组织名
民 I-组织名
政 I-组织名
厅 I-组织名
、 O
省 B-组织名
人 I-组织名
社 I-组织名
厅 I-组织名
出 O
台 O
的 O
《 B-法条
黑 I-法条
龙 I-法条
江 I-法条
省 I-法条
民 I-法条
政 I-法条
事 I-法条
业 I-法条
单 I-法条
位 I-法条
社 I-法条
会 I-法条
工 I-法条
作 I-法条
岗 I-法条
位 I-法条
设 I-法条
置 I-法条
指 I-法条
导 I-法条
意 I-法条
见 I-法条
》 I-法条
、 O
2 B-时间日期
0 I-时间日期
1 I-时间日期
8 I-时间日期
年 I-时间日期
省 B-组织名
直 I-组织名
1 I-组织名
2 I-组织名
部 I-组织名
门 I-组织名
出 O
台 O
的 O
《 B-法条
黑 I-法条
龙 I-法条
江 I-法条
省 I-法条
关 I-法条
于 I-法条
加 I-法条
强 I-法条
社 I-法条
会 I-法条
工 I-法条
作 I-法条
专 I-法条
业 I-法条
岗 I-法条
位 I-法条
开 I-法条
发 I-法条
与 I-法条
人 I-法条
才 I-法条
激 I-法条
励 I-法条
保 I-法条
障 I-法条
的 I-法条
实 I-法条
施 I-法条
意 I-法条
见 I-法条
》 I-法条
， O
实 O
行 O
国 O
家 O
社 O
会 O
工 O
作 O
者 O
水 O
平 O
评 O
价 O
类 O
职 O
业 O
资 O
格 O
与 O
相 O
应 O
系 O
列 O
专 O
业 O
技 O
术 O
职 O
务 O
评 O
聘 O
相 O
衔 O
接 O
， O
通 O
过 O
考 O
试 O
取 O
得 O
国 B-要件
家 I-要件
社 I-要件
会 I-要件
工 I-要件
作 I-要件
者 I-要件
职 I-要件
业 I-要件
资 I-要件
格 I-要件
证 I-要件
书 I-要件
人 O
员 O
， O
用 B-组织名
人 I-组织名
单 I-组织名
位 I-组织名
可 O
根 O
据 O
工 O
作 O
需 O
要 O
， O
聘 O
用 O
（ O
任 O
） O
相 O
应 O
级 O
别 O
专 O
业 O
技 O
术 O
职 O
务 O
。 O
聘 O
用 O
到 O
中 O
级 O
专 O
业 O
技 O
术 O
岗 O
位 O
的 O
， O
应 O
具 O
有 O
社 O
会 O
工 O
作 O
师 O
职 O
业 O
资 O
格 O
证 O
书 O
。 O
对 O
聘 O
用 O
到 O
事 B-组织名
业 I-组织名
单 I-组织名
位 I-组织名
的 O
正 O
式 O
工 O
作 O
人 O
员 O
， O
按 O
照 O
国 O
家 O
有 O
关 O
规 O
定 O
确 O
定 O
工 O
资 O
待 O
遇 O
。 O
如 O
果 O
已 O
经 O
通 O
过 O
国 O
家 O
社 O
会 O
工 O
作 O
者 O
职 O
业 O
水 O
平 O
考 O
试 O
取 O
得 O
社 B-要件
会 I-要件
工 I-要件
作 I-要件
师 I-要件
证 I-要件
书 I-要件
， O
可 O
以 O
通 O
过 O
该 O
途 O
径 O
兑 O
现 O
中 O
级 O
职 O
称 O
待 O
遇 O
， O
但 O
前 O
提 O
是 O
所 O
在 O
的 O
单 O
位 O
已 O
经 O
配 O
置 O
社 O
会 O
工 O
作 O
岗 O
位 O
， O
且 O
已 O
被 O
聘 O
用 O
到 O
该 O
岗 O
位 O
工 O
作 O
的 O
才 O
可 O
以 O
兑 O
现 O
。 O

3 O
知 O
识 O
标 O
题 O
： O

 O
如 O
何 O
申 B-业务
请 I-业务
取 I-业务
得 I-业务
